ITEM,CONDITION,ADJECTIVE,ADVERB,SENTENCE,LIST,TYPE
345,3,"freiwillig","zufrieden","Niklas war freiwillig zufrieden.",1,"item"
347,2,"bewusst","zutraulich","Adam war bewusst zutraulich.",1,"item"
348,1,"absichtlich","zuverlässig","Theresa war absichtlich zuverlässig.",1,"item"
1001,1001,".",".","Henrike fuhr nach Brasilien.",1,"filler"
1002,1001,".",".","Die Polizei bat um Hilfe.",1,"filler"
1003,1001,".",".","Die Schüler kamen zum Infoabend.",1,"filler"
1004,1001,".",".","Ingrid fuhr in die Stadt.",1,"filler"
1005,1001,".",".","Adele wechselte an das MIT.",1,"filler"
345,1,"absichtlich","zufrieden","Niklas war absichtlich zufrieden.",2,"item"
347,3,"freiwillig","zutraulich","Adam war freiwillig zutraulich.",2,"item"
348,2,"bewusst","zuverlässig","Theresa war bewusst zuverlässig.",2,"item"
1001,1001,".",".","Henrike fuhr nach Brasilien.",2,"filler"
1002,1001,".",".","Die Polizei bat um Hilfe.",2,"filler"
1003,1001,".",".","Die Schüler kamen zum Infoabend.",2,"filler"
1004,1001,".",".","Ingrid fuhr in die Stadt.",2,"filler"
1005,1001,".",".","Adele wechselte an das MIT.",2,"filler"
345,2,"bewusst","zufrieden","Niklas war bewusst zufrieden.",3,"item"
347,1,"absichtlich","zutraulich","Adam war absichtlich zutraulich.",3,"item"
348,3,"freiwillig","zuverlässig","Theresa war freiwillig zuverlässig.",3,"item"
1001,1001,".",".","Henrike fuhr nach Brasilien.",3,"filler"
1002,1001,".",".","Die Polizei bat um Hilfe.",3,"filler"
1003,1001,".",".","Die Schüler kamen zum Infoabend.",3,"filler"
1004,1001,".",".","Ingrid fuhr in die Stadt.",3,"filler"
1005,1001,".",".","Adele wechselte an das MIT.",3,"filler"
